date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:59:05	42834/42834	---M-Z	200	added ('OK')	text/html	etag:W/%222e01aa3-a752-58bb5e7367300-gzip%22	http://xpanthersolutions.com/html/neon/vertical/chart-chartjs.html	C:/My%20Web%20Sites/smartbookback/xpanthersolutions.com/html/neon/vertical/chart-chartjs.html	(from http://xpanthersolutions.com/html/neon/vertical/index.html)
13:59:05	37442/37442	---M-Z	200	added ('OK')	text/html	etag:W/%222e01aa1-9242-58bb5e7367300-gzip%22	http://xpanthersolutions.com/html/neon/vertical/chart-c3.html	C:/My%20Web%20Sites/smartbookback/xpanthersolutions.com/html/neon/vertical/chart-c3.html	(from http://xpanthersolutions.com/html/neon/vertical/index.html)
13:59:06	37561/37561	---M-Z	200	added ('OK')	text/html	etag:W/%222e01aa4-92b9-58bb5e7367300-gzip%22	http://xpanthersolutions.com/html/neon/vertical/chart-flot.html	C:/My%20Web%20Sites/smartbookback/xpanthersolutions.com/html/neon/vertical/chart-flot.html	(from http://xpanthersolutions.com/html/neon/vertical/index.html)
13:59:06	41239/41239	---M-Z	200	added ('OK')	text/html	etag:W/%222e01aa6-a117-58bb5e7367300-gzip%22	http://xpanthersolutions.com/html/neon/vertical/chart-morris.html	C:/My%20Web%20Sites/smartbookback/xpanthersolutions.com/html/neon/vertical/chart-morris.html	(from http://xpanthersolutions.com/html/neon/vertical/index.html)
13:59:07	37607/37607	---M-Z	200	added ('OK')	text/html	etag:W/%222e01aa5-92e7-58bb5e7367300-gzip%22	http://xpanthersolutions.com/html/neon/vertical/chart-knob.html	C:/My%20Web%20Sites/smartbookback/xpanthersolutions.com/html/neon/vertical/chart-knob.html	(from http://xpanthersolutions.com/html/neon/vertical/index.html)
13:59:07	35741/35741	---M-Z	200	added ('OK')	text/html	etag:W/%222e01aa7-8b9d-58bb5e7367300-gzip%22	http://xpanthersolutions.com/html/neon/vertical/chart-piety.html	C:/My%20Web%20Sites/smartbookback/xpanthersolutions.com/html/neon/vertical/chart-piety.html	(from http://xpanthersolutions.com/html/neon/vertical/index.html)
13:59:08	35708/35708	---M-Z	200	added ('OK')	text/html	etag:W/%222e01aa8-8b7c-58bb5e7367300-gzip%22	http://xpanthersolutions.com/html/neon/vertical/chart-sparkline.html	C:/My%20Web%20Sites/smartbookback/xpanthersolutions.com/html/neon/vertical/chart-sparkline.html	(from http://xpanthersolutions.com/html/neon/vertical/index.html)
13:59:08	73350/73350	---M-Z	200	added ('OK')	text/html	etag:W/%222e01ada-11e86-58bb5e754f780-gzip%22	http://xpanthersolutions.com/html/neon/vertical/table-bootstrap.html	C:/My%20Web%20Sites/smartbookback/xpanthersolutions.com/html/neon/vertical/table-bootstrap.html	(from http://xpanthersolutions.com/html/neon/vertical/index.html)
13:59:09	90885/90885	---M-Z	200	added ('OK')	text/html	etag:W/%222e01adb-16305-58bb5e754f780-gzip%22	http://xpanthersolutions.com/html/neon/vertical/table-datatable.html	C:/My%20Web%20Sites/smartbookback/xpanthersolutions.com/html/neon/vertical/table-datatable.html	(from http://xpanthersolutions.com/html/neon/vertical/index.html)
13:59:09	34969/34969	---M-Z	200	added ('OK')	text/html	etag:W/%222e01adc-8899-58bb5e754f780-gzip%22	http://xpanthersolutions.com/html/neon/vertical/table-editable.html	C:/My%20Web%20Sites/smartbookback/xpanthersolutions.com/html/neon/vertical/table-editable.html	(from http://xpanthersolutions.com/html/neon/vertical/index.html)
